Date,BABA,PDD,JD,BIDU,NTES,NIO,BILI,TME,EDU,YUMC,TCOM,ZTO,AMZN,TSLA,UL,JNJ
2020-07-24,249.0,78.94999694824219,60.880001068115234,119.0199966430664,89.1585693359375,11.819999694824219,40.099998474121094,15.619999885559082,13.805000305175781,52.4290885925293,27.100000381469727,34.58540725708008,3008.909912109375,283.3999938964844,58.63212585449219,145.21974182128906
2020-07-27,250.86000061035156,83.44000244140625,62.779998779296875,115.86000061035156,89.87052154541016,11.6899995803833,41.31999969482422,16.030000686645508,13.975000381469727,53.02668762207031,27.850000381469727,35.309242248535156,3055.2099609375,307.9200134277344,59.49966049194336,144.29812622070312
2020-07-28,249.0500030517578,83.7699966430664,61.4900016784668,115.69000244140625,89.54635620117188,12.270000457763672,40.86000061035156,15.770000457763672,13.548999786376953,52.38924789428711,27.719999313354492,34.853126525878906,3000.330078125,295.2980041503906,59.68486785888672,143.9550018310547
2020-07-29,252.4499969482422,84.02999877929688,62.59000015258789,119.81999969482422,89.96796417236328,12.699999809265137,41.77000045776367,15.739999771118164,13.52400016784668,53.53464126586914,27.950000762939453,36.06282043457031,3033.530029296875,299.8219909667969,60.688873291015625,143.67066955566406
2020-07-30,252.74000549316406,84.94000244140625,62.290000915527344,118.0,89.73329162597656,12.199999809265137,41.29999923706055,15.819999694824219,13.819000244140625,50.546661376953125,27.459999084472656,36.251216888427734,3051.8798828125,297.49798583984375,59.88956832885742,143.96481323242188
2020-07-31,251.02000427246094,91.80000305175781,63.790000915527344,119.4000015258789,91.16514587402344,11.9399995803833,43.58000183105469,16.139999389648438,14.020000457763672,51.03470230102539,27.200000762939453,36.73707962036133,3164.679931640625,286.1520080566406,58.953792572021484,142.90594482421875
2020-08-03,257.94000244140625,96.02999877929688,64.52999877929688,120.55000305175781,93.26718139648438,13.600000381469727,46.029998779296875,15.84000015258789,14.312999725341797,52.01077651977539,27.889999389648438,36.98496627807617,3111.889892578125,297.0,59.70436096191406,144.46482849121094
2020-08-04,262.20001220703125,94.0199966430664,64.56999969482422,126.66999816894531,95.41297149658203,13.640000343322754,45.189998626708984,16.049999237060547,14.494000434875488,52.4290885925293,27.780000686645508,37.024627685546875,3138.830078125,297.3999938964844,60.191749572753906,144.3373565673828
2020-08-05,264.9100036621094,97.45999908447266,65.5199966430664,125.8499984741211,95.62178039550781,13.920000076293945,45.52000045776367,16.5,14.807999610900879,52.97688674926758,28.030000686645508,36.6875,3205.030029296875,297.0039978027344,59.63612747192383,145.4942626953125
2020-08-06,265.67999267578125,91.62000274658203,64.91000366210938,125.58000183105469,95.86042022705078,13.84000015258789,44.439998626708984,16.56999969482422,14.760000228881836,54.04259490966797,27.989999771118164,37.2130241394043,3225.0,297.9159851074219,59.35028076171875,144.66090393066406
